name,rating,number_of_reviews,information
TCS,3.4,1.1L,IT Services & Consulting | Bangalore / Bengaluru +436 other locations
Accenture,3.7,70k,IT Services & Consulting | Bangalore / Bengaluru +250 other locations
Wipro,3.6,62.2k,IT Services & Consulting | Hyderabad / Secunderabad +369 other locations
Cognizant,3.7,59.2k,IT Services & Consulting | Hyderabad / Secunderabad +230 other locations
Capgemini,3.7,50.8k,IT Services & Consulting | Bangalore / Bengaluru +183 other locations
HDFC Bank,3.8,49.6k,Banking | Mumbai +1804 other locations
Infosys,3.5,46.5k,IT Services & Consulting | Bangalore / Bengaluru +244 other locations
ICICI Bank,4.0,44.6k,Banking | Mumbai +1433 other locations
HCLTech,3.4,43.8k,IT Services & Consulting | Chennai +227 other locations
Tech Mahindra,3.4,41.8k,IT Services & Consulting | Hyderabad / Secunderabad +333 other locations
Genpact,3.6,40.1k,IT Services & Consulting | Hyderabad / Secunderabad +182 other locations
Teleperformance,3.8,36k,BPO | Mumbai +252 other locations
Axis Bank,3.6,31.8k,Banking | Mumbai +1490 other locations
Jio,4.3,31.2k,Telecom | Mumbai +1848 other locations
Concentrix Corporation,3.6,31.1k,BPO | Bangalore / Bengaluru +175 other locations
Amazon,3.9,30.3k,Internet | Bangalore / Bengaluru +519 other locations
iEnergizer,4.6,27.3k,BPO | Noida +51 other locations
Reliance Retail,3.9,26.6k,Retail | Mumbai +1140 other locations
IBM,3.9,25.1k,IT Services & Consulting | Bangalore / Bengaluru +160 other locations
LTIMindtree,3.6,24.8k,IT Services & Consulting | Bangalore / Bengaluru +144 other locations
HDB Financial Services,3.9,24.7k,NBFC | Mumbai +1079 other locations
Larsen & Toubro Limited,3.9,22.8k,Engineering & Construction | Chennai +749 other locations
Deloitte,3.7,22k,Management Consulting | Hyderabad / Secunderabad +183 other locations
Kotak Mahindra Bank,3.6,21.5k,Banking | Mumbai +676 other locations
Reliance Industries,4.0,19.5k,Oil & Gas | Jamnagar +807 other locations
Vodafone Idea,3.9,17.3k,Telecom | Pune +700 other locations
BYJU'S,3.2,16.6k,EdTech | Bangalore / Bengaluru +322 other locations
Bharti Airtel,3.9,16.6k,Telecom | Gurgaon / Gurugram +778 other locations
WNS,3.3,14.5k,IT Services & Consulting | Pune +64 other locations
AU Small Finance Bank,3.9,13.8k,Banking | Jaipur +767 other locations
Tata Motors,4.1,13.7k,Automobile | Pune +505 other locations
Ernst & Young,3.4,13.6k,Management Consulting | Bangalore / Bengaluru +130 other locations
IDFC FIRST Bank,3.9,13.6k,Banking | Mumbai +707 other locations
IndusInd Bank,3.4,13.6k,Banking | Mumbai +788 other locations
Flipkart,3.9,12.5k,Internet | Bangalore / Bengaluru +560 other locations
Bajaj Finserv,3.9,12.2k,Financial Services | Pune +1149 other locations
PwC,3.3,11.8k,Management Consulting | Bangalore / Bengaluru +130 other locations
Muthoot FinCorp,4.5,11.7k,NBFC | Bangalore / Bengaluru +1077 other locations
DXC Technology,3.6,11.6k,IT Services & Consulting | Bangalore / Bengaluru +133 other locations
Mahindra & Mahindra,4.0,11.6k,Automobile | Pune +555 other locations
Infosys BPM,3.5,11.6k,BPO | Bangalore / Bengaluru +94 other locations
HDFC Life,3.9,11.5k,Insurance | Mumbai +691 other locations
Bandhan Bank,3.7,10.3k,Banking | Kolkata +987 other locations
Conneqt Business Solutions,3.6,10k,BPO | Hyderabad / Secunderabad +260 other locations
Mphasis,3.3,9.9k,IT Services & Consulting | Bangalore / Bengaluru +61 other locations
Yes Bank,3.7,9.7k,Banking | Mumbai +536 other locations
Tata Steel,4.0,9.6k,Iron & Steel | Jamshedpur +226 other locations
Quess,3.8,9.3k,Recruitment | Bangalore / Bengaluru +727 other locations
Startek,3.1,9.2k,BPO | Bangalore / Bengaluru +105 other locations
Asian Paints,3.9,9.1k,Chemicals | Mumbai +543 other locations
Paytm,3.2,9k,FinTech | Noida +411 other locations
UltraTech Cement,4.1,9k,Building Material | Mumbai +529 other locations
Shriram Finance,4.0,8.8k,NBFC | Chennai +1092 other locations
Maruti Suzuki,4.2,8.7k,Automobile | Gurgaon / Gurugram +441 other locations
Bajaj Finance,3.9,8.6k,NBFC | Pune +955 other locations
Sutherland Global Services,3.4,8.5k,BPO | Chennai +80 other locations
EXL Service,3.6,8.3k,IT Services & Consulting | Noida +61 other locations
Cipla,4.1,8.3k,Pharma | Mumbai +288 other locations
Samsung,3.9,8.2k,Consumer Electronics & Appliances | Noida +571 other locations
Ericsson,4.0,8.2k,Telecom | Noida +162 other locations
Wells Fargo,3.7,8.1k,Financial Services | Bangalore / Bengaluru +28 other locations
Dr. Reddy's,4.0,8k,Pharma | Hyderabad / Secunderabad +209 other locations
Optum Global Solutions,4.0,7.6k,IT Services & Consulting | Hyderabad / Secunderabad +66 other locations
HGS,3.8,7.5k,BPO | Bangalore / Bengaluru +120 other locations
ICICI Prudential Life Insurance,4.0,7.5k,Insurance | Mumbai +504 other locations
Delhivery,3.8,7.5k,Logistics | Gurgaon / Gurugram +742 other locations
JPMorgan Chase & Co.,3.8,7.4k,Financial Services | Bangalore / Bengaluru +54 other locations
JSW Steel,3.9,7.4k,Iron & Steel | Ballari +193 other locations
Jana Small Finance Bank,3.8,7.4k,Banking | Bangalore / Bengaluru +413 other locations
Amazon Development Centre India,3.9,7.4k,Internet | Hyderabad / Secunderabad +146 other locations
Sun Pharmaceutical Industries,4.1,7.3k,Pharma | Vadodara +262 other locations
Hexaware Technologies,3.4,7.3k,IT Services & Consulting | Chennai +68 other locations
Lupin,4.1,7.1k,Pharma | Pune +202 other locations
L&T Construction,4.0,7.1k,Engineering & Construction | Chennai +424 other locations
Zydus Lifesciences,3.9,7.1k,Pharma | Ahmedabad +173 other locations
Hindustan Unilever,4.2,7k,FMCG | Mumbai +525 other locations
Equitas Small Finance Bank,4.2,7k,Banking | Chennai +445 other locations
Ekart Logistics,3.9,7k,Logistics | Bangalore / Bengaluru +728 other locations
KPMG India,3.4,6.9k,Management Consulting | Bangalore / Bengaluru +109 other locations
ITC,3.9,6.9k,FMCG | Bangalore / Bengaluru +371 other locations
Ujjivan Small Finance Bank,4.0,6.8k,Banking | Bangalore / Bengaluru +525 other locations
Axis Max Life Insurance,4.0,6.8k,Insurance | New Delhi +493 other locations
Megha Engineering & Infrastructures,3.9,6.6k,Engineering & Construction | Hyderabad / Secunderabad +398 other locations
Tata Projects,4.2,6.5k,Engineering & Construction | Mumbai +282 other locations
FIS,3.8,6.4k,FinTech | Pune +61 other locations
